<Category ID>,<Category Type>,<Parent Category ID>,<Language1>,<Name1>,<Description1>,,
CA_1025,5,CA_1010,EN,超賣訂單 Oversold Order,超賣訂單 Oversold Order,,
CA_1026,5,CA_1010,EN,異常訂單 Abnormal Order,異常訂單 Abnormal Order,,
CA_1027,5,CA_1010,EN,中國退回訂單 China Return Order,中國退回訂單 China Return Order,,
CA_1028,5,CA_1010,EN,稅務問題 Tax Issue ,稅務問題 Tax Issue ,,
CA_1029,5,CA_1010,EN,收取送貨費 Charged delivery fee,收取送貨費 Charged delivery fee,,
CA_1030,5,CA_1010,EN,網購店取沒取的訂單 C&C No Show Order,網購店取沒取的訂單 C&C No Show Order,,
CA_1031,5,CA_1010,EN,沒有訂單確認 No Order Confirmation ,沒有訂單確認 No Order Confirmation ,,
CA_1032,5,CA_1010,EN,詐騙案 Fraud Case ,詐騙案 Fraud Case ,,
CA_1033,5,CA_1010,EN,測試訂單 Test case,測試訂單 Test case,,
CA_1034,5,CA_1010,EN,其他 Others,其他 Others,,
CA_1035,5,CA_1010,EN,查詢退款狀態 Refund Status Checking,查詢退款狀態 Refund Status Checking,,
CA_1036,2,CA_1001,EN,推廣優惠 Promotion,推廣優惠 Promotion,,
CA_1037,5,CA_1036,EN,沒有折扣 No discount,沒有折扣 No discount,,
CA_1038,5,CA_1036,EN,沒有/ 收費贈品 No / Charged free gift  ,沒有/ 收費贈品 No / Charged free gift  ,,
CA_1039,5,CA_1036,EN,沒有優惠劵/電子優惠劵/印花 No coupon/eVoucher/eStamp,沒有優惠劵/電子優惠劵/印花 No coupon/eVoucher/eStamp,,
CA_1040,5,CA_1036,EN,無法使用電子優惠劵 eVoucher unable to use ,無法使用電子優惠劵 eVoucher unable to use ,,
CA_1041,5,CA_1036,EN,無法使用電子印花 eStamp unable to use ,無法使用電子印花 eStamp unable to use ,,
CA_1042,5,CA_1036,EN,其他 Others,其他 Others,,
CA_1044,5,CA_1004,EN,貨存 Stock Availability,貨存 Stock Availability,,
CA_1045,2,CA_1001,EN,登入問題 Login Issues,登入問題 Login Issues,,
CA_1046,5,CA_1045,EN,忘記已登記電郵 Forgot registered email address,忘記已登記電郵 Forgot registered email address,,
CA_1047,5,CA_1045,EN,忘記密碼 Forgot password,忘記密碼 Forgot password,,
CA_1048,5,CA_1045,EN,網站登入出現異常情況 Desktop - Login Abnormality,網站登入出現異常情況 Desktop - Login Abnormality,,
CA_1049,5,CA_1045,EN,其他 Others ,其他 Others ,,
CA_1050,5,CA_1045,EN,忘記已登記電郵 Forgot registered email address,忘記已登記電郵 Forgot registered email address,,
CA_1051,5,CA_1045,EN,忘記密碼 Forgot password,忘記密碼 Forgot password,,
CA_1052,5,CA_1045,EN,手機程式 - 登入失敗 Mobile App - Log in failure,手機程式 - 登入失敗 Mobile App - Log in failure,,
CA_1053,5,CA_1045,EN,其他 Others ,其他 Others ,,
CA_1054,2,CA_1001,EN,登記 Registration,登記 Registration,,
CA_1055,5,CA_1054,EN,註冊賬號失敗 Failed to register an account,註冊賬號失敗 Failed to register an account,,
CA_1056,2,CA_1001,EN,結帳 Check-out,結帳 Check-out,,
CA_1057,5,CA_1056,EN,無法結帳 Could Not Checkout,無法結帳 Could Not Checkout,,
CA_1058,5,CA_1056,EN,其他 Others,其他 Others,,
CA_1059,5,CA_1056,EN,沒有確認郵件 No confirmation email,沒有確認郵件 No confirmation email,,
CA_1060,5,CA_1056,EN,沒有訂單號 No order number,沒有訂單號 No order number,,
CA_1061,5,CA_1056,EN,付款問題 Payment Issue,付款問題 Payment Issue,,
CA_1062,5,CA_1056,EN,技術故障 Technical glitch,技術故障 Technical glitch,,
CA_1063,2,CA_1001,EN,關於訂單 Fulfillment,關於訂單 Fulfillment,,
CA_1064,5,CA_1063,EN,交貨-錯誤日期/時段 Wrong Delivery Day / TimeSlot,交貨-錯誤日期/時段 Wrong Delivery Day / TimeSlot,,
CA_1065,5,CA_1063,EN,交貨 - 逾期交貨 Delivery - Late Delivery,交貨 - 逾期交貨 Delivery - Late Delivery,,、、
CA_1066,5,CA_1063,EN,交貨- 沒有收到包裹 Delivery - Not Receive Parcel,交貨- 沒有收到包裹 Delivery - Not Receive Parcel,,
CA_1067,5,CA_1063,EN,交貨 - 包裹錯誤 Delivery - Wrong Parcel ,交貨 - 包裹錯誤 Delivery - Wrong Parcel ,,
CA_1068,5,CA_1063,EN,交貨- 物品損壞 Delivery - Item(s) damaged,交貨- 物品損壞 Delivery - Item(s) damaged,,
CA_1069,5,CA_1063,EN,交貨- 快遞態度/處理 Courier Attitude / Handling ,交貨- 快遞態度/處理 Courier Attitude / Handling ,,
CA_1070,5,CA_1063,EN,交貨- 沒有收到來電 Delivery - No Call Received,交貨- 沒有收到來電 Delivery - No Call Received,,
CA_1071,5,CA_1063,EN,交貨相關 - 沒有短信/電郵 Delivery - No SMS/Email,交貨相關 - 沒有短信/電郵 Delivery - No SMS/Email,,
CA_1072,5,CA_1063,EN,交貨相關 - 其他 Delivery Related - Others,交貨相關 - 其他 Delivery Related - Others,,
CA_1073,5,CA_1063,EN,更改送貨-日期時段 Change Delivery -Date/TimeSlot,更改送貨-日期時段 Change Delivery -Date/TimeSlot,,
CA_1074,5,CA_1063,EN,更改送貨 - 地址 Change Delivery - Address ,更改送貨 - 地址 Change Delivery - Address ,,
CA_1075,5,CA_1063,EN,更改送貨-聯繫資料 Change Delivery-Contact Detail,更改送貨-聯繫資料 Change Delivery-Contact Detail,,
CA_1076,5,CA_1063,EN,更改送貨-門店取貨點 Change Store Location,更改送貨-門店取貨點 Change Store Location,,
CA_1077,2,CA_1002,EN,退款 / 換貨 Refund / Exchange,退款 / 換貨 Refund / Exchange,,
CA_1078,5,CA_1077,EN,條碼剝離 Barcode peel off,條碼剝離 Barcode peel off,,
CA_1079,5,CA_1077,EN,破碎 Broken apart,破碎 Broken apart,,
CA_1080,2,CA_1002,EN,帳戶相關 Account Related,帳戶相關 Account Related,,
CA_1081,5,CA_1080,EN,手機號碼重複 Duplicate Mobile Number,手機號碼重複 Duplicate Mobile Number,,
CA_1082,5,CA_1080,EN,電郵地址重複 Duplicate Email address,電郵地址重複 Duplicate Email address,,
CA_1083,5,CA_1080,EN,激活 - 其他 Activation - Others,激活 - 其他 Activation - Others,,
CA_1084,5,CA_1080,EN,刪除帳戶 Delete Account,刪除帳戶 Delete Account,,
CA_1085,2,CA_1002,EN,電子優惠券問題 eCoupon issues,電子優惠券問題 eCoupon issues,,
CA_1086,5,CA_1085,EN,兌換 - 網店 Redeem - eStore,兌換 - 網店 Redeem - eStore,,
CA_1087,5,CA_1085,EN,兌換 - 實體店 Redeem - In-store,兌換 - 實體店 Redeem - In-store,,
CA_1088,5,CA_1085,EN,兌換 - 應用程式 Redeem - mobile app,兌換 - 應用程式 Redeem - mobile app,,
CA_1089,5,CA_1085,EN,缺少電子優惠劵/電子印花 Missing eStamp / eCoupon,缺少電子優惠劵/電子印花 Missing eStamp / eCoupon,,
CA_1090,5,CA_1085,EN,無法兌換 - 網店 Unable to Redeem - eStore,無法兌換 - 網店 Unable to Redeem - eStore,,
CA_1091,5,CA_1085,EN,無法兌換 - 實體店 Unable to Redeem - In-store,無法兌換 - 實體店 Unable to Redeem - In-store,,
CA_1092,5,CA_1085,EN,無法兌換 - 應用程式 Unable to Redeem - app,無法兌換 - 應用程式 Unable to Redeem - app,,
CA_1093,5,CA_1085,EN,無法兌換 Unable to Redeem,無法兌換 Unable to Redeem,,
CA_1094,5,CA_1085,EN,轉移 Transfer,轉移 Transfer,,
CA_1095,5,CA_1085,EN,轉移 Transfer,轉移 Transfer,,
CA_1096,2,CA_1002,EN,電子印花事宜 eStamp Issues,電子印花事宜 eStamp Issues,,
CA_1097,5,CA_1096,EN,到期 Expiration,到期 Expiration,,
CA_1098,5,CA_1096,EN,兌換 - 網店 Redeem - eStore,兌換 - 網店 Redeem - eStore,,
CA_1099,5,CA_1096,EN,兌換 - 實體店 Redeem - In-store,兌換 - 實體店 Redeem - In-store,,
CA_1100,5,CA_1096,EN,兌換 - 應用程式 Redeem - mobile app,兌換 - 應用程式 Redeem - mobile app,,
CA_1101,5,CA_1096,EN,缺少電子優惠劵/電子印花 Missing eStamp / eCoupon,缺少電子優惠劵/電子印花 Missing eStamp / eCoupon,,
CA_1102,5,CA_1096,EN,無法兌換 - 網店 Unable to Redeem - eStore,無法兌換 - 網店 Unable to Redeem - eStore,,
CA_1103,5,CA_1096,EN,無法兌換 - 實體店 Unable to Redeem - In-store,無法兌換 - 實體店 Unable to Redeem - In-store,,
CA_1104,5,CA_1096,EN,無法兌換 - 應用程式 Unable to Redeem - app,無法兌換 - 應用程式 Unable to Redeem - app,,
CA_1105,5,CA_1096,EN,轉移 Transfer,轉移 Transfer,,
CA_1106,2,CA_1002,EN,一般 General ,一般 General ,,
CA_1108,5,CA_1080,EN,連接會員卡 Link Member Card,連接會員卡 Link Member Card,,
CA_1109,2,CA_1002,EN,登入問題 Login Issues,登入問題 Login Issues,,
CA_1110,5,CA_1109,EN,電腦-忘記登記電郵Desktop-Forgot email address,電腦-忘記登記電郵Desktop-Forgot email address,,
CA_1111,5,CA_1109,EN,電腦 - 忘記卡號 Desktop - Forgot card number,電腦 - 忘記卡號 Desktop - Forgot card number,,
CA_1112,5,CA_1109,EN,電腦 - 技術錯誤 Desktop - Technical error,電腦 - 技術錯誤 Desktop - Technical error,,
CA_1113,5,CA_1109,EN,電腦 - 其他 Desktop - Others,電腦 - 其他 Desktop - Others,,
CA_1114,5,CA_1109,EN,手機應用程式- 忘記登記電郵 App- Forgot email address,手機應用程式- 忘記登記電郵 App- Forgot email address,,
CA_1115,5,CA_1109,EN,手機應用程式 - 忘記卡號 App - Forgot card number,手機應用程式 - 忘記卡號 App - Forgot card number,,
CA_1116,5,CA_1109,EN,手機應用程式 - 技術錯誤 App - Technical error,手機應用程式 - 技術錯誤 App - Technical error,,
CA_1117,5,CA_1109,EN,手機應用程式 - 其他 Mobile App - Others,手機應用程式 - 其他 Mobile App - Others,,
CA_1118,5,CA_1080,EN,遺失易賞錢卡 Lost Card,遺失易賞錢卡 Lost Card,,
CA_1119,5,CA_1080,EN,註冊賬號失敗 - Failed to register an account,註冊賬號失敗 - Failed to register an account,,
CA_1120,5,CA_1080,EN,取消訂閱 - 電子郵件 Unsubscription - Email,取消訂閱 - 電子郵件 Unsubscription - Email,,
CA_1121,5,CA_1080,EN,取消訂閱 - 短信 Unsubscription - SMS,取消訂閱 - 短信 Unsubscription - SMS,,
CA_1122,5,CA_1080,EN,重設密碼 Reset Password,重設密碼 Reset Password,,
CA_1123,5,CA_1080,EN,更新檔案資料 - 名稱 Update Profile - Name,更新檔案資料 - 名稱 Update Profile - Name,,
CA_1124,5,CA_1080,EN,更新檔案資料 - 電話號碼 Update Profile - Tel. No.,更新檔案資料 - 電話號碼 Update Profile - Tel. No.,,
CA_1125,5,CA_1080,EN,更新檔案資料 - 電郵 Update Profile - Email ,更新檔案資料 - 電郵 Update Profile - Email ,,
CA_1126,5,CA_1080,EN,升級為VIP會員 - Upgrade to VIP Member,升級為VIP會員 - Upgrade to VIP Member,,
CA_1127,5,CA_1080,EN,VIP會員優惠 VIP Member Benefits,VIP會員優惠 VIP Member Benefits,,
CA_1128,2,CA_1002,EN,推廣優惠 Promotion,推廣優惠 Promotion,,
CA_1129,5,CA_1128,EN,易賞錢會員優惠- Benefits,易賞錢會員優惠- Benefits,,
CA_1130,5,CA_1128,EN,推廣 Promotions,推廣 Promotions,,
CA_1131,2,CA_1002,EN,積分問題 Point issues,積分問題 Point issues,,
CA_1132,5,CA_1131,EN,生日積分 Birthday Points,生日積分 Birthday Points,,
CA_1133,5,CA_1131,EN,到期積分 Expiring Points,到期積分 Expiring Points,,
CA_1134,5,CA_1131,EN,積分兌換 Point redemption,積分兌換 Point redemption,,
CA_1135,5,CA_1131,EN,沒有積分 Missing Points,沒有積分 Missing Points,,
CA_1136,5,CA_1131,EN,無法兌換積分 Unable to Redeem Points,無法兌換積分 Unable to Redeem Points,,
CA_1137,5,CA_1131,EN,積分轉移 Points Transfer,積分轉移 Points Transfer,,
CA_1138,5,CA_1131,EN,積分未退還 Points Not Refund,積分未退還 Points Not Refund,,
CA_1139,5,CA_1131,EN,積分換算 Point Conversion,積分換算 Point Conversion,,
CA_1140,5,CA_1131,EN,負積分 Negative Point,負積分 Negative Point,,
CA_1141,2,CA_1003,EN,結帳 Check-out,結帳 Check-out,,
CA_1142,5,CA_1141,EN,收據/發票問題 Receipt/Invoice Issue,收據/發票問題 Receipt/Invoice Issue,,
CA_1143,5,CA_1141,EN,點購站事宜 EA issue,點購站事宜 EA issue,,
CA_1144,5,CA_1141,EN,其他 Others,其他 Others,,
CA_1145,2,CA_1003,EN,中藥 Chinese Medicine,中藥 Chinese Medicine,,
CA_1146,5,CA_1145,EN,藥品信息 Medication Information,藥品信息 Medication Information,,
CA_1147,5,CA_1145,EN,保健品信息 Health Supplement Information,保健品信息 Health Supplement Information,,
CA_1148,5,CA_1145,EN,健康諮詢 Health Advice,健康諮詢 Health Advice,,
CA_1149,5,CA_1145,EN,中醫門診地址 Location of Chinese Medicine,中醫門診地址 Location of Chinese Medicine,,
CA_1150,5,CA_1145,EN,意見反饋 - 中醫 Feedback - Chinese Medicine,意見反饋 - 中醫 Feedback - Chinese Medicine,,
CA_1151,5,CA_1145,EN,實習機會 Internship Opportunity,實習機會 Internship Opportunity,,
CA_1152,5,CA_1145,EN,其他 Others,其他 Others,,
CA_1153,2,CA_1003,EN,飲食諮詢 Dietary Advisory,飲食諮詢 Dietary Advisory,,
CA_1154,5,CA_1153,EN,藥品信息 Medication Information,藥品信息 Medication Information,,
CA_1155,5,CA_1153,EN,保健品信息 Health Supplement Information,保健品信息 Health Supplement Information,,
CA_1156,5,CA_1153,EN,健康諮詢 Health Advice,健康諮詢 Health Advice,,
CA_1157,5,CA_1153,EN,飲食諮詢地址 Location of Dietary Advisory,飲食諮詢地址 Location of Dietary Advisory,,
CA_1158,5,CA_1153,EN,意見反饋 - 飲食諮詢 Feedback - Dietary Advisory,意見反饋 - 飲食諮詢 Feedback - Dietary Advisory,,
CA_1159,5,CA_1153,EN,實習機會 Internship Opportunity,實習機會 Internship Opportunity,,
CA_1160,5,CA_1153,EN,其他 Others,其他 Others,,
CA_1161,2,CA_1003,EN,查詢 Enquiry,查詢 Enquiry,,
CA_1162,5,CA_1161,EN,分店地址/營業時間/電話 Store Location/Bus Hrs/Tel.,分店地址/營業時間/電話 Store Location/Bus Hrs/Tel.,,
CA_1163,2,CA_1003,EN,保健及營養 Essence and Nutrition,保健及營養 Essence and Nutrition,,
CA_1164,5,CA_1163,EN,藥品信息 Medication Information,藥品信息 Medication Information,,
CA_1165,5,CA_1163,EN,保健品信息 Health Supplement Information,保健品信息 Health Supplement Information,,
CA_1166,5,CA_1163,EN,健康諮詢 Health Advice,健康諮詢 Health Advice,,
CA_1167,5,CA_1163,EN,保健及營養地址 Location of Essence & Nutrition,保健及營養地址 Location of Essence & Nutrition,,
CA_1168,5,CA_1163,EN,反饋 - 保健及營養 Feedback- Essence & Nutrition,反饋 - 保健及營養 Feedback- Essence & Nutrition,,
CA_1169,5,CA_1163,EN,實習機會 Internship Opportunity,實習機會 Internship Opportunity,,
CA_1170,5,CA_1163,EN,其他 Others,其他 Others,,
CA_1171,2,CA_1003,EN,電子印花及電子優惠劵事宜 eStamp and eCoupon Issues,電子印花及電子優惠劵事宜 eStamp and eCoupon Issues,,
CA_1172,5,CA_1171,EN,缺少電子優惠劵/電子印花  No eCoupon/eStamp,缺少電子優惠劵/電子印花  No eCoupon/eStamp,,
CA_1173,5,CA_1171,EN,無法使用電子印花  Unable to use ,無法使用電子印花  Unable to use ,,
CA_1174,2,CA_1003,EN,健康與美容諮詢 Health & Beauty Advice,健康與美容諮詢 Health & Beauty Advice,,
CA_1175,2,CA_1003,EN,投訴 Complaints,投訴 Complaints,,
CA_1176,5,CA_1175,EN,商店設施/環境 Store Facility/Enviroment,商店設施/環境 Store Facility/Enviroment,,
CA_1177,5,CA_1175,EN,員工態度/處理不當 Staff Attitude / Mishandling ,員工態度/處理不當 Staff Attitude / Mishandling ,,
CA_1178,5,CA_1175,EN,意外 Accident,意外 Accident,,
CA_1179,5,CA_1175,EN,其他 Others,其他 Others,,
CA_1180,2,CA_1003,EN,預約化妝 Make Up Booking,預約化妝 Make Up Booking,,
CA_1181,2,CA_1003,EN,藥房 Pharmacy,藥房 Pharmacy,,
CA_1182,5,CA_1181,EN,藥品信息 Medication Information,藥品信息 Medication Information,,
CA_1183,5,CA_1181,EN,保健品信息 Health Supplement Information,保健品信息 Health Supplement Information,,
CA_1184,5,CA_1181,EN,健康諮詢 Health Advice,健康諮詢 Health Advice,,
CA_1185,5,CA_1181,EN,藥房地址 Location of Pharmacy,藥房地址 Location of Pharmacy,,
CA_1186,5,CA_1181,EN,意見反饋 - 藥房 Feedback - Pharmacy,意見反饋 - 藥房 Feedback - Pharmacy,,
CA_1187,5,CA_1181,EN,實習機會 Internship Opportunity,實習機會 Internship Opportunity,,
CA_1188,5,CA_1181,EN,其他 Others,其他 Others,,
CA_1189,2,CA_1003,EN,產品 Products,產品 Products,,
CA_1190,5,CA_1189,EN,貨存 Stock Availability,貨存 Stock Availability,,
CA_1191,5,CA_1189,EN,現金券可用性 Cash Coupon Availability ,現金券可用性 Cash Coupon Availability ,,
CA_1193,5,CA_1161,EN,查詢價錢 Check pricing ,查詢價錢 Check pricing ,,
CA_1194,5,CA_1161,EN,查詢產品資料 Check product information ,查詢產品資料 Check product information ,,
CA_1195,5,CA_1189,EN,其他 Others,其他 Others,,
CA_1196,2,CA_1003,EN,推廣優惠 Promotion,推廣優惠 Promotion,,
CA_1197,5,CA_1196,EN,沒有折扣 No discount ,沒有折扣 No discount ,,
CA_1198,5,CA_1196,EN,沒有/ 收費贈品 No / Charged free gift  ,沒有/ 收費贈品 No / Charged free gift  ,,
CA_1199,5,CA_1196,EN,無法使用優惠劵 Coupon unable to use ,無法使用優惠劵 Coupon unable to use ,,
CA_1200,5,CA_1196,EN,無法使用電子優惠劵 eVoucher unable to use ,無法使用電子優惠劵 eVoucher unable to use ,,
CA_1201,5,CA_1196,EN,Others,Others,,
CA_1202,2,CA_1003,EN,退款 / 換貨 Refund / Exchange,退款 / 換貨 Refund / Exchange,,
CA_1203,5,CA_1202,EN,改變主意 Change of mind,改變主意 Change of mind,,
CA_1204,5,CA_1202,EN,收到錯誤貨品 Wrong item received,收到錯誤貨品 Wrong item received,,
CA_1205,5,CA_1202,EN,產品過期/保質期短 Product Expired / short expiry,產品過期/保質期短 Product Expired / short expiry,,
CA_1206,5,CA_1202,EN,物品損壞 Item(s) damaged,物品損壞 Item(s) damaged,,
CA_1207,5,CA_1202,EN,產品品質 - 其他品牌 Product Quality - AB,產品品質 - 其他品牌 Product Quality - AB,,
CA_1208,5,CA_1202,EN,產品品質 - 自家品牌 Product Quality - OB,產品品質 - 自家品牌 Product Quality - OB,,
CA_1209,5,CA_1202,EN,不適合使用 Not suitable for usage,不適合使用 Not suitable for usage,,
CA_1210,5,CA_1202,EN,其他 Others,其他 Others,,
CA_1211,5,CA_1202,EN,產品描述 Product Description,產品描述 Product Description,,
CA_1212,5,CA_1202,EN,贈品問題 Premium Issue ,贈品問題 Premium Issue ,,
CA_1213,5,CA_1202,EN,折扣問題 Discount Issue ,折扣問題 Discount Issue ,,
CA_1214,1,,EN,其他 Others,其他 Others,,
CA_1215,2,CA_1214,EN,一般 General ,一般 General ,,
CA_1216,2,CA_1214,EN,合作機會 Partner Opportunity,合作機會 Partner Opportunity,,
CA_1217,5,CA_1216,EN,感興趣的供應商 Interested Supplier,感興趣的供應商 Interested Supplier,,
CA_1218,5,CA_1216,EN,合作夥伴/媒體 Partnership/ Media,合作夥伴/媒體 Partnership/ Media,,
CA_1219,5,CA_1216,EN,贊助 Sponsorship,贊助 Sponsorship,,
CA_1220,2,CA_1214,EN,大量購買 Bulk Purchase,大量購買 Bulk Purchase,,
CA_1221,5,CA_1220,EN,產品 Product,產品 Product,,
CA_1222,5,CA_1220,EN,現金劵/電子優惠劵 Cash Coupon / eVoucher,現金劵/電子優惠劵 Cash Coupon / eVoucher,,
CA_1223,2,CA_1214,EN,登記 Registration,登記 Registration,,
CA_1224,2,CA_1214,EN,社交媒體 / Social Media ,社交媒體 / Social Media ,,
CA_1225,2,CA_1214,EN,讚揚 Compliment ,讚揚 Compliment ,,
RC_1001,6,,EN,Compensation,Compensation,,
RC_1002,6,,EN,Proposed settlement,Proposed settlement,,
RC_1003,6,,EN,Refund,Refund,,
RC_1004,6,,EN,Replacement,Replacement,,
RC_1005,6,,EN,Verbal,Verbal,,
RC_1006,6,,EN,Written,Written,,
RC_1007,6,,EN,Replacement / Change Model,Replacement / Change Model,,
RC_1008,6,,EN,Proposed settlement (Verbal),Proposed settlement (Verbal),,
RC_1009,6,,EN,Proposed settlement (Written),Proposed settlement (Written),,
RC_1010,6,,EN,Esculated to 3rd Party,Esculated to 3rd Party,,
RC_1011,6,,EN,Refund-by eVoucher,Refund-by eVoucher,,
RC_1012,6,,EN,Refund-by eCoupon ,Refund-by eCoupon ,,
RC_1013,6,,EN,Refund by MB Point,Refund by MB Point,,
RC_1014,6,,EN,Refund to original account,Refund to original account,,
RC_1015,6,,EN,Refund by Cash ,Refund by Cash ,,
RC_1016,6,,EN,Refund by Gift Voucher ,Refund by Gift Voucher ,,
RC_1017,6,,EN,Exchange for same value products,Exchange for same value products,,
RC_1018,6,,EN,Adjust eStamp ,Adjust eStamp ,,
RC_1019,6,,EN,Adjust MB point,Adjust MB point,,
RC_1020,6,,EN,Unreach,Unreach,,
