<Category ID>,<Category Type>,<Parent Category ID>,<Language1>,<Name1>,<Description1>
CA_48,5,CA_33,EN,E15 Website - 未能以八達通付款 ,E15 Website - 未能以八達通付款 
CA_49,5,CA_33,EN,E16 Website - 未能以支付寶付款,E16 Website - 未能以支付寶付款
CA_50,5,CA_33,EN,E17 Website - 未能以銀聯卡付款,E17 Website - 未能以銀聯卡付款
CA_51,5,CA_33,EN,E18 Website - 未能建立訂單(已過數),E18 Website - 未能建立訂單(已過數)
CA_52,2,CA_1,EN,印花問題 eStamp Issues,印花問題 eStamp Issues
CA_53,5,CA_52,EN,F 漏/錯印花 ,F 漏/錯印花 
CA_54,2,CA_1,EN,系統問題 Systems,系統問題 Systems
CA_55,5,CA_54,EN,S1 App - 尋找貨品失敗,S1 App - 尋找貨品失敗
CA_56,5,CA_54,EN,S2 App - 非常慢或出現Error ,S2 App - 非常慢或出現Error 
CA_57,5,CA_54,EN,S3 App - 購物車問題,S3 App - 購物車問題
CA_58,5,CA_54,EN,S4 App - 未能揀選送貨時間,S4 App - 未能揀選送貨時間
CA_59,5,CA_54,EN,S5 App - 未能付款,S5 App - 未能付款
CA_60,5,CA_54,EN,S6 App - 帳單顯示錯誤,S6 App - 帳單顯示錯誤
CA_61,5,CA_54,EN,S7 App - 其他 ,S7 App - 其他 
CA_62,5,CA_54,EN,S8 Webiste - 尋找貨品失敗,S8 Webiste - 尋找貨品失敗
CA_63,5,CA_54,EN,S9 Website - 非常慢或出現Error ,S9 Website - 非常慢或出現Error 
CA_64,5,CA_54,EN,S10 Website - 購物車問題,S10 Website - 購物車問題
CA_65,5,CA_54,EN,S11 Website - 未能揀選送貨時間,S11 Website - 未能揀選送貨時間
CA_66,5,CA_54,EN,S12 Website - 未能付款,S12 Website - 未能付款
CA_67,5,CA_54,EN,S13 Website - 帳單顯示錯誤,S13 Website - 帳單顯示錯誤
CA_68,5,CA_54,EN,S14 Website - 其他 ,S14 Website - 其他 
CA_69,2,CA_1,EN,退款 / 換貨 Refund / Exchange,退款 / 換貨 Refund / Exchange
CA_70,5,CA_69,EN,R1 重複收費,R1 重複收費
CA_71,5,CA_69,EN,R2 不尋常訂單 ,R2 不尋常訂單 
CA_72,5,CA_69,EN,R3 折扣問題 ,R3 折扣問題 
CA_73,5,CA_69,EN,R4 取消訂單,R4 取消訂單
CA_74,5,CA_69,EN,R5 客人要求,R5 客人要求
CA_75,5,CA_69,EN,R6 退款情況查詢 ,R6 退款情況查詢 
CA_76,5,CA_69,EN,R7 無收到訂單確認 (NOC),R7 無收到訂單確認 (NOC)
CA_77,5,CA_69,EN,R8 運費 ,R8 運費 
CA_78,5,CA_69,EN,R9 系統問題,R9 系統問題
CA_79,5,CA_69,EN,R10 運輸/倉存問題 (save a/c),R10 運輸/倉存問題 (save a/c)
CA_80,5,CA_69,EN,R11 eVoucher退回原先付款帳戶,R11 eVoucher退回原先付款帳戶
CA_81,5,CA_69,EN,R12 銀行/財政部通知退款,R12 銀行/財政部通知退款
CA_82,5,CA_69,EN,R13 欺詐個案,R13 欺詐個案
CA_83,5,CA_69,EN,R14 測試訂單,R14 測試訂單
CA_84,2,CA_1,EN,推廣優惠 Promotion,推廣優惠 Promotion
CA_85,5,CA_84,EN,P1 App - 未能享用VIP優惠 ,P1 App - 未能享用VIP優惠 
CA_86,5,CA_84,EN,P2 App - 未能使用電子禮券,P2 App - 未能使用電子禮券
CA_87,5,CA_84,EN,P3 App - 未能使用MB電子禮券,P3 App - 未能使用MB電子禮券
CA_88,5,CA_84,EN,P4 App - 未能使用優惠券 ,P4 App - 未能使用優惠券 
CA_89,5,CA_84,EN,P5 App - 未賺取MB積分,P5 App - 未賺取MB積分
CA_90,5,CA_84,EN,P6 App - 未賺取電子禮券,P6 App - 未賺取電子禮券
CA_91,5,CA_84,EN,P7 App - 未賺取優惠券,P7 App - 未賺取優惠券
CA_92,5,CA_84,EN,P8 App - 沒有該推廣優惠,P8 App - 沒有該推廣優惠
CA_93,5,CA_84,EN,P9 App - 貨品缺貨,P9 App - 貨品缺貨
CA_94,5,CA_84,EN,P10 App - 過期 ,P10 App - 過期 
CA_95,5,CA_84,EN,P11 App - 錯描述,P11 App - 錯描述
CA_96,5,CA_84,EN,P12 App - 錯圖 ,P12 App - 錯圖 
CA_97,5,CA_84,EN,P13 App - 錯價錢 ,P13 App - 錯價錢 
CA_98,5,CA_84,EN,P14 App - 優惠碼失效 ,P14 App - 優惠碼失效 
CA_99,5,CA_84,EN,P15 App - 贈品缺貨 ,P15 App - 贈品缺貨 
CA_100,5,CA_84,EN,P16 App - 未能享用銀行推廣,P16 App - 未能享用銀行推廣
CA_101,5,CA_84,EN,P17 App - 其他,P17 App - 其他
CA_102,5,CA_84,EN,W1 website - 未能享用VIP優惠 ,W1 website - 未能享用VIP優惠 
CA_103,5,CA_84,EN,W2 website - 未能使用電子禮券,W2 website - 未能使用電子禮券
CA_104,5,CA_84,EN,W3 website - 未能使用MB電子禮券,W3 website - 未能使用MB電子禮券
CA_105,5,CA_84,EN,W4 website - 未能使用優惠券 ,W4 website - 未能使用優惠券 
CA_106,5,CA_84,EN,W5 website - 未賺取電子禮券,W5 website - 未賺取電子禮券
CA_107,5,CA_84,EN,W6 website - 未賺取優惠券,W6 website - 未賺取優惠券
CA_108,5,CA_84,EN,W7 website - 未賺取MB積分,W7 website - 未賺取MB積分
CA_109,5,CA_84,EN,W8 website - 沒有該推廣優惠,W8 website - 沒有該推廣優惠
CA_110,5,CA_84,EN,W9 website - 貨品缺貨,W9 website - 貨品缺貨
CA_111,5,CA_84,EN,W10 website - 過期 ,W10 website - 過期 
CA_112,5,CA_84,EN,W11 website - 錯描述,W11 website - 錯描述
CA_113,5,CA_84,EN,W12 website - 錯圖 ,W12 website - 錯圖 
CA_114,5,CA_84,EN,W13 website - 錯價錢 ,W13 website - 錯價錢 
CA_115,5,CA_84,EN,W14 website - 優惠碼失效 ,W14 website - 優惠碼失效 
CA_116,5,CA_84,EN,W15 website - 贈品缺貨 ,W15 website - 贈品缺貨 
CA_117,5,CA_84,EN,W16 website - 未能享用銀行推廣,W16 website - 未能享用銀行推廣
CA_118,5,CA_84,EN,W17 website - 其他,W17 website - 其他
CA_119,2,CA_1,EN,貨品問題 Products,貨品問題 Products
CA_120,5,CA_119,EN,G1 品質 - 新鮮貨品 ,G1 品質 - 新鮮貨品 
CA_121,5,CA_119,EN,G2 品質 - 新鮮貨品 (自家品牌),G2 品質 - 新鮮貨品 (自家品牌)
CA_122,5,CA_119,EN,G3 品質 - 冰貨,G3 品質 - 冰貨
CA_123,5,CA_119,EN,G4 品質 - 冰貨 (自家品牌),G4 品質 - 冰貨 (自家品牌)
CA_124,5,CA_119,EN,G5 品質 - 乾貨,G5 品質 - 乾貨
CA_125,5,CA_119,EN,G6 品質 - 乾貨 (自家品牌),G6 品質 - 乾貨 (自家品牌)
CA_126,5,CA_119,EN,G7 品質 - 味道有變/臭,G7 品質 - 味道有變/臭
CA_127,5,CA_119,EN,G8 品質 - 味道有變/臭 (自家品牌),G8 品質 - 味道有變/臭 (自家品牌)
CA_128,5,CA_119,EN,G9 品質 - 倉發現爛貨安排退款 ,G9 品質 - 倉發現爛貨安排退款 
CA_129,5,CA_119,EN,G10 品質 - 凍貨,G10 品質 - 凍貨
CA_130,5,CA_119,EN,G11 品質 - 凍貨 (自家品牌),G11 品質 - 凍貨 (自家品牌)
CA_131,5,CA_119,EN,G12 品質 - 液體貨,G12 品質 - 液體貨
CA_132,5,CA_119,EN,G13 品質 - 短期貨 ,G13 品質 - 短期貨 
CA_133,5,CA_119,EN,G14 品質 - 短期貨 (自家品牌),G14 品質 - 短期貨 (自家品牌)
CA_134,5,CA_119,EN,G15 品質 - 贈品損毀/壞 ,G15 品質 - 贈品損毀/壞 
CA_135,5,CA_119,EN,G16 品質 - 其他,G16 品質 - 其他
CA_136,2,CA_1,EN,電子優惠券問題 eCoupon issues,電子優惠券問題 eCoupon issues
CA_137,5,CA_136,EN,Q1 沒有記錄 ,Q1 沒有記錄 
CA_138,5,CA_136,EN,Q2 過期 ,Q2 過期 
CA_139,5,CA_136,EN,Q3 錯數量 ,Q3 錯數量 
CA_141,2,CA_1,EN,電子禮券問題 eVoucher issues,電子禮券問題 eVoucher issues
CA_142,5,CA_141,EN,X1 沒有記錄 ,X1 沒有記錄 
CA_143,5,CA_141,EN,X2 過期 ,X2 過期 
CA_144,5,CA_141,EN,X3 錯數量 ,X3 錯數量 
CA_145,5,CA_141,EN,X4 沒有記錄 - MB ,X4 沒有記錄 - MB 
CA_146,5,CA_141,EN,X5 過期 - MB,X5 過期 - MB
CA_147,5,CA_141,EN,X6 錯數量 - MB,X6 錯數量 - MB
CA_148,2,CA_1,EN,登入問題 Login Issues,登入問題 Login Issues
CA_149,5,CA_148,EN,L1 App - 登入出現異常,L1 App - 登入出現異常
CA_150,5,CA_148,EN,L2 App - 登入失敗 ,L2 App - 登入失敗 
CA_151,5,CA_148,EN,L3 App - 其他 ,L3 App - 其他 
CA_152,5,CA_148,EN,L4 未能升級至2.0 Can't upgrade to 2.0,L4 未能升級至2.0 Can't upgrade to 2.0
CA_153,5,CA_148,EN,L5 Website - 登入出現異常,L5 Website - 登入出現異常
CA_154,5,CA_148,EN,L6 Website - 登入失敗 ,L6 Website - 登入失敗 
CA_155,5,CA_148,EN,L7 Website - 其他 ,L7 Website - 其他 
CA_156,2,CA_1,EN,登記帳戶 Registration,登記帳戶 Registration
CA_157,5,CA_156,EN,L8 登記會員失敗 ,L8 登記會員失敗 
CA_160,2,CA_1,EN,積分問題 Point issues,積分問題 Point issues
CA_161,5,CA_160,EN,K1 未能使用積分,K1 未能使用積分
CA_162,5,CA_160,EN,K2 錯積分,K2 錯積分
CA_163,2,CA_1,EN,職員服務態度 Staff performance / attitude,職員服務態度 Staff performance / attitude
CA_164,5,CA_163,EN,T1 GZ職員無覆/遲覆 ,T1 GZ職員無覆/遲覆 
CA_165,5,CA_163,EN,T2 GZ職員-其他 ,T2 GZ職員-其他 
CA_166,5,CA_163,EN,T3 HK職員無覆/遲覆,T3 HK職員無覆/遲覆
CA_167,5,CA_163,EN,T4 HK職員-其他,T4 HK職員-其他
CA_168,5,CA_163,EN,T5 熱線線路繁忙 ,T5 熱線線路繁忙 
CA_169,2,CA_1,EN,關於訂單 Fulfillment,關於訂單 Fulfillment
CA_170,5,CA_169,EN,CCE1 店取易 - 一般查詢 ,CCE1 店取易 - 一般查詢 
CA_171,5,CA_169,EN,CCE2 店取易 -  個人原因要求取消,CCE2 店取易 -  個人原因要求取消
CA_172,5,CA_169,EN,CCE3 店取易 -  系統問題,CCE3 店取易 -  系統問題
CA_173,5,CA_169,EN,CCE4 店取易 - 未收到確認電郵,CCE4 店取易 - 未收到確認電郵
CA_174,5,CA_169,EN,CCE5 店取易 - 未經客人同意取消 ,CCE5 店取易 - 未經客人同意取消 
CA_175,5,CA_169,EN,CCE6 店取易 - 沒有聯絡客人 ,CCE6 店取易 - 沒有聯絡客人 
CA_176,5,CA_169,EN,CCE7 店取易 - 店舖未能聯絡客人,CCE7 店取易 - 店舖未能聯絡客人
CA_177,5,CA_169,EN,CCE8 店取易 - No show 取消,CCE8 店取易 - No show 取消
CA_178,5,CA_169,EN,CCE9 店取易 - 店舖職員態度,CCE9 店取易 - 店舖職員態度
CA_179,5,CA_169,EN,CCE10 店取易 - 貨品質素,CCE10 店取易 - 貨品質素
CA_180,5,CA_169,EN,CCE11 店取易 - 錯貨,CCE11 店取易 - 錯貨
CA_181,5,CA_169,EN,CCE12 店取易 - 缺貨 ,CCE12 店取易 - 缺貨 
CA_182,5,CA_169,EN,CCE13 店取易 - 漏貨 ,CCE13 店取易 - 漏貨 
CA_183,5,CA_169,EN,CCE14 店取易 - 遲執貨,CCE14 店取易 - 遲執貨
CA_184,5,CA_169,EN,CCE15 店取易 - 贈品,CCE15 店取易 - 贈品
CA_185,5,CA_169,EN,CCE16 店取易 - 推廣優惠,CCE16 店取易 - 推廣優惠
CA_186,5,CA_169,EN,D1 司機態度問題 ,D1 司機態度問題 
CA_187,5,CA_169,EN,D2 更改送貨地址 - 客人要求,D2 更改送貨地址 - 客人要求
CA_188,5,CA_169,EN,D3 更改送貨時間 - 客人要求,D3 更改送貨時間 - 客人要求
CA_189,5,CA_169,EN,D4 更改送貨地址 - 錯區 ,D4 更改送貨地址 - 錯區 
CA_190,5,CA_169,EN,D5 更改送貨時間 - 司機未能聯絡客人,D5 更改送貨時間 - 司機未能聯絡客人
CA_191,5,CA_169,EN,D6 更改送貨時間 - 系統問題 (包括waiting/created單),D6 更改送貨時間 - 系統問題 (包括waiting/created單)
CA_192,5,CA_169,EN,D7 更改送貨時間 - 倉要求,D7 更改送貨時間 - 倉要求
CA_193,5,CA_169,EN,D8 取消訂單 - 由於大部份貨品缺貨,D8 取消訂單 - 由於大部份貨品缺貨
CA_194,5,CA_169,EN,D9 倉出錯貨 ,D9 倉出錯貨 
CA_195,5,CA_169,EN,D10 貨品缺貨 ,D10 貨品缺貨 
CA_196,5,CA_169,EN,D11 倉通知因貨品缺貨/損壞改期,D11 倉通知因貨品缺貨/損壞改期
CA_197,5,CA_169,EN,D12 司機送錯貨,D12 司機送錯貨
CA_198,5,CA_169,EN,D13 司機送多貨 ,D13 司機送多貨 
CA_199,5,CA_169,EN,D14 司機送漏貨品 ,D14 司機送漏貨品 
CA_200,5,CA_169,EN,D15 司機送貨前無電話通知 ,D15 司機送貨前無電話通知 
CA_201,5,CA_169,EN,D16 司機no show,D16 司機no show
CA_202,5,CA_169,EN,D17 運輸問題取消訂單 ,D17 運輸問題取消訂單 
CA_203,5,CA_169,EN,D18 運輸過程中損壞 ,D18 運輸過程中損壞 
CA_204,5,CA_169,EN,D19 司機過早/過時送貨,D19 司機過早/過時送貨
CA_205,5,CA_169,EN,D20 贈品缺貨,D20 贈品缺貨
CA_206,5,CA_169,EN,D21 送貨系統問題,D21 送貨系統問題
CA_207,5,CA_169,EN,D22 運輸問題 - 其他,D22 運輸問題 - 其他
CA_209,2,CA_1,EN,讚揚 Compliment,讚揚 Compliment
CA_210,5,CA_209,EN,L 讚揚 Compliment,L 讚揚 Compliment
CA_211,2,CA_2,EN,一般 General,一般 General
CA_212,5,CA_211,EN,A1 更改客戶資料 ,A1 更改客戶資料 
CA_213,5,CA_211,EN,A2 迎新優惠 ,A2 迎新優惠 
CA_214,5,CA_211,EN,A3 突發聯絡客人計劃 ,A3 突發聯絡客人計劃 
CA_215,5,CA_211,EN,A4 意見 ,A4 意見 
CA_216,5,CA_211,EN,A5 追進度 ,A5 追進度 
CA_217,5,CA_211,EN,A6 搵香港同事 ,A6 搵香港同事 
CA_218,5,CA_211,EN,A7 錯誤向百佳投訴 - WTC/FTR/others,A7 錯誤向百佳投訴 - WTC/FTR/others
CA_219,2,CA_2,EN,一般查詢 Enquiry,一般查詢 Enquiry
CA_220,5,CA_219,EN,B1 交易記錄 ,B1 交易記錄 
CA_221,5,CA_219,EN,B2 合作伙伴推廣優惠,B2 合作伙伴推廣優惠
CA_222,5,CA_219,EN,B3 百佳推廣優惠 ,B3 百佳推廣優惠 
CA_223,5,CA_219,EN,B4 其他 ,B4 其他 
CA_224,5,CA_219,EN,B5 易賞錢積分查詢 ,B5 易賞錢積分查詢 
CA_225,5,CA_219,EN,B6 追退分情況,B6 追退分情況
CA_226,5,CA_219,EN,B7 專貴會員推廣 ,B7 專貴會員推廣 
CA_227,5,CA_219,EN,B8 電子印花查詢 ,B8 電子印花查詢 
CA_228,5,CA_219,EN,B9 電子優惠券查詢,B9 電子優惠券查詢
CA_229,5,CA_219,EN,B10 電子禮券查詢,B10 電子禮券查詢
CA_230,5,CA_219,EN,B11 銀行推廣優惠 ,B11 銀行推廣優惠 
CA_231,5,CA_219,EN,B12 購物記錄 ,B12 購物記錄 
CA_232,5,CA_219,EN,B13 關於抽獎 ,B13 關於抽獎 
CA_233,2,CA_2,EN,印花問題 eStamp Issues,印花問題 eStamp Issues
CA_234,5,CA_233,EN,C1 未能分享 ,C1 未能分享 
CA_235,5,CA_233,EN,C2 未能使用 ,C2 未能使用 
CA_236,5,CA_233,EN,C3 過期 ,C3 過期 
CA_237,5,CA_233,EN,C4 錯數量 ,C4 錯數量 
CA_238,5,CA_233,EN,C5 其他 ,C5 其他 
CA_239,2,CA_2,EN,系統問題 Systems,系統問題 Systems
CA_240,5,CA_239,EN,S1 Kiosk 機問題 ,S1 Kiosk 機問題 
CA_241,5,CA_239,EN,S2 未能列印單據,S2 未能列印單據
CA_242,5,CA_239,EN,S3 未能列印Till coupon,S3 未能列印Till coupon
CA_243,5,CA_239,EN,S4 App - 不能打開 ,S4 App - 不能打開 
CA_244,5,CA_239,EN,S5 App - 不能顯示積分 ,S5 App - 不能顯示積分 
CA_245,5,CA_239,EN,S6 App - 慢/壞,S6 App - 慢/壞
CA_246,5,CA_239,EN,S7 App - 顯示錯積分 ,S7 App - 顯示錯積分 
CA_247,5,CA_239,EN,S8 App - 按鍵出Error/無反應 ,S8 App - 按鍵出Error/無反應 
CA_248,5,CA_239,EN,S9 電子收據無記錄 ,S9 電子收據無記錄 
CA_249,5,CA_239,EN,S10 電子收據錯記錄 ,S10 電子收據錯記錄 
CA_250,5,CA_239,EN,S11 Website - 慢/壞,S11 Website - 慢/壞
CA_251,5,CA_239,EN,S12 Website - 按鍵出Error/無反應 ,S12 Website - 按鍵出Error/無反應 
CA_252,5,CA_239,EN,S13 Website - 開不到網頁 ,S13 Website - 開不到網頁 
CA_253,2,CA_2,EN,推廣優惠 Promotion,推廣優惠 Promotion
CA_254,5,CA_253,EN,P1 未能使用優惠,P1 未能使用優惠
CA_255,5,CA_253,EN,P2 未能兌換Till coupon,P2 未能兌換Till coupon
CA_256,5,CA_253,EN,P3 未能賺取積分,P3 未能賺取積分
CA_257,5,CA_253,EN,P4 未能賺取印花,P4 未能賺取印花
CA_258,5,CA_253,EN,P5 沒有該推廣優惠 ,P5 沒有該推廣優惠 
CA_259,5,CA_253,EN,P6 過期 ,P6 過期 
CA_260,5,CA_253,EN,P7 誤導性描述,P7 誤導性描述
CA_261,5,CA_253,EN,P8 錯圖 ,P8 錯圖 
CA_262,5,CA_253,EN,P9 錯價錢 ,P9 錯價錢 
CA_263,5,CA_253,EN,P10 贈品問題,P10 贈品問題
CA_264,5,CA_253,EN,P11 關於抽獎,P11 關於抽獎
CA_265,5,CA_253,EN,P12 銀行推廣優惠 - 未能使用 ,P12 銀行推廣優惠 - 未能使用 
CA_266,5,CA_253,EN,P13 其他 ,P13 其他 
CA_267,5,CA_253,EN,V1 VIP 會員推廣 - 未能使用優惠,V1 VIP 會員推廣 - 未能使用優惠
CA_268,5,CA_253,EN,V2 VIP 會員推廣 - 未能兌換Till coupon,V2 VIP 會員推廣 - 未能兌換Till coupon
CA_269,5,CA_253,EN,V3 VIP 會員推廣 - 未能賺取積分,V3 VIP 會員推廣 - 未能賺取積分
CA_270,5,CA_253,EN,V4 VIP 會員推廣 - 未能賺取印花,V4 VIP 會員推廣 - 未能賺取印花
CA_271,5,CA_253,EN,V5 VIP 會員推廣 - 沒有該推廣優惠 ,V5 VIP 會員推廣 - 沒有該推廣優惠 
CA_272,5,CA_253,EN,V6 VIP 會員推廣 - 過期 ,V6 VIP 會員推廣 - 過期 
CA_273,5,CA_253,EN,V7 VIP 會員推廣 - 誤導性描述,V7 VIP 會員推廣 - 誤導性描述
CA_274,5,CA_253,EN,V8 VIP 會員推廣 - 錯圖 ,V8 VIP 會員推廣 - 錯圖 
CA_275,5,CA_253,EN,V9 VIP 會員推廣 - 錯價錢 ,V9 VIP 會員推廣 - 錯價錢 
CA_276,5,CA_253,EN,V10 VIP 會員推廣 - 贈品問題,V10 VIP 會員推廣 - 贈品問題
CA_277,5,CA_253,EN,V11 VIP 會員推廣 - 關於抽獎,V11 VIP 會員推廣 - 關於抽獎
CA_278,5,CA_253,EN,V12 VIP 會員推廣 - 要求兌換禮品/服務,V12 VIP 會員推廣 - 要求兌換禮品/服務
CA_279,5,CA_253,EN,V13 VIP 會員推廣 - 要求取消禮品/服務,V13 VIP 會員推廣 - 要求取消禮品/服務
CA_280,5,CA_253,EN,J1 合作伙伴推廣優惠 - 不能兌換優惠 ,J1 合作伙伴推廣優惠 - 不能兌換優惠 
CA_281,5,CA_253,EN,J2 合作伙伴推廣優惠 - 沒有該推廣優惠,J2 合作伙伴推廣優惠 - 沒有該推廣優惠
CA_282,5,CA_253,EN,J3 合作伙伴推廣優惠 - 未能賺取積分,J3 合作伙伴推廣優惠 - 未能賺取積分
CA_283,5,CA_253,EN,J4 合作伙伴推廣優惠 - 錯記錄 ,J4 合作伙伴推廣優惠 - 錯記錄 
CA_284,5,CA_253,EN,J5 合作伙伴推廣優惠 - 錯描述 ,J5 合作伙伴推廣優惠 - 錯描述 
CA_285,5,CA_253,EN,J6 合作伙伴推廣優惠 - 錯圖 ,J6 合作伙伴推廣優惠 - 錯圖 
CA_286,5,CA_253,EN,J7 合作伙伴推廣優惠 - 錯價錢 ,J7 合作伙伴推廣優惠 - 錯價錢 
CA_287,5,CA_253,EN,J8 合作伙伴推廣優惠 - 錯優惠 ,J8 合作伙伴推廣優惠 - 錯優惠 
CA_288,2,CA_2,EN,合作夥伴機會 Partner Opportunity,合作夥伴機會 Partner Opportunity
CA_289,5,CA_288,EN,J10 合作夥伴機會 ,J10 合作夥伴機會 
CA_290,2,CA_2,EN,登入問題 Login Issues,登入問題 Login Issues
CA_291,5,CA_290,EN,L1 App - 登入出現異常 ,L1 App - 登入出現異常 
CA_292,5,CA_290,EN,L2 App - 其他 ,L2 App - 其他 
CA_293,5,CA_290,EN,L3 Website - 出現異常情況 ,L3 Website - 出現異常情況 
CA_294,5,CA_290,EN,L4 Website - 其他 ,L4 Website - 其他 
CA_295,2,CA_2,EN,登記帳戶 Registration,登記帳戶 Registration
CA_296,5,CA_295,EN,L5 登記會員失敗 ,L5 登記會員失敗 
CA_297,2,CA_2,EN,電子優惠券問題 eCoupon issues,電子優惠券問題 eCoupon issues
CA_298,5,CA_297,EN,Q1 未能分享 ,Q1 未能分享 
CA_299,5,CA_297,EN,Q2 未能使用 eCoupon,Q2 未能使用 eCoupon
CA_300,5,CA_297,EN,Q3 未能使用 Till coupon ,Q3 未能使用 Till coupon 
CA_301,5,CA_297,EN,Q4 沒有記錄 ,Q4 沒有記錄 
CA_302,5,CA_297,EN,Q5 錯數量 ,Q5 錯數量 
CA_303,5,CA_297,EN,Q6 過期 eCoupon,Q6 過期 eCoupon
CA_304,5,CA_297,EN,Q7 過期 Till coupon ,Q7 過期 Till coupon 
CA_305,2,CA_2,EN,電子禮券問題 eVoucher issues,電子禮券問題 eVoucher issues
CA_306,5,CA_305,EN,X1 未能分享 ,X1 未能分享 
CA_307,5,CA_305,EN,X2 未能使用 ,X2 未能使用 
CA_308,5,CA_305,EN,X3 沒有記錄 ,X3 沒有記錄 
CA_309,5,CA_305,EN,X4 過期 ,X4 過期 
CA_310,5,CA_305,EN,X5 錯數量 ,X5 錯數量 
CA_311,2,CA_2,EN,積分問題 Point issues,積分問題 Point issues
CA_312,5,CA_311,EN,K1 過期積分,K1 過期積分
CA_313,5,CA_311,EN,K2 未能分享 ,K2 未能分享 
CA_314,5,CA_311,EN,K3 未能使用,K3 未能使用
CA_315,5,CA_311,EN,K4 沒有記錄 ,K4 沒有記錄 
CA_316,5,CA_311,EN,K5 負積分 ,K5 負積分 
CA_317,5,CA_311,EN,K6 偷竊 ,K6 偷竊 
CA_318,5,CA_311,EN,K7 過期 ,K7 過期 
CA_319,5,CA_311,EN,K8 錯記錄 ,K8 錯記錄 
CA_320,5,CA_311,EN,K9 錯誤獲得積分 ,K9 錯誤獲得積分 
CA_321,2,CA_2,EN,職員服務態度 Staff performance / attitude,職員服務態度 Staff performance / attitude
